lat,lon,sst_media,racha_18p0,cumple_18p0,racha_19p0,cumple_19p0,racha_20p0,cumple_20p0,racha_21p0,cumple_21p0,racha_22p0,cumple_22p0,racha_23p0,cumple_23p0,racha_24p0,cumple_24p0
24.75,-112.41,21.410999999999994,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.4,21.3768,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.39,21.334,0,False,0,False,0,False,1,False,4,False,5,True,5,True
24.75,-112.38,21.287599999999998,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.37,21.2412,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.36,21.1978,0,False,0,False,0,False,4,False,4,False,5,True,5,True
24.75,-112.35,21.1538,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.34,21.104200000000002,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.33,21.0518,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.32,21.005599999999998,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.31,20.9702,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.3,20.946,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.29,20.930799999999998,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.28,20.921,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.27,20.913800000000002,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.26,20.9086,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.25,20.906,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.24,20.905399999999997,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.23,20.904999999999998,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.22,20.906200000000002,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.21,20.909799999999997,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.2,20.9156,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.19,20.925,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.18,20.937800000000003,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.17,20.953799999999998,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.16,20.972599999999996,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.15,20.994400000000002,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.14,21.018800000000002,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.13,21.0424,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.12,21.062599999999996,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.11,21.0754,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.1,21.081200000000003,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.09,21.0826,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.08,21.0858,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.07,21.0946,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.05,21.124199999999995,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.04,21.142,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.75,-112.03,21.160199999999996,0,False,0,False,0,False,3,False,4,False,5,True,5,True
24.76,-113.75,21.4592,0,False,0,False,0,False,0,False,5,True,5,True,5,True
24.76,-113.74,21.446199999999997,0,False,0,False,0,False,0,False,5,True,5,True,5,True
24.76,-113.73,21.439799999999998,0,False,0,False,0,False,0,False,5,True,5,True,5,True
24.76,-113.72,21.439799999999998,0,False,0,False,0,False,0,False,5,True,5,True,5,True
24.76,-113.71,21.4418,0,False,0,False,0,False,0,False,5,True,5,True,5,True
24.76,-113.7,21.4402,0,False,0,False,0,False,0,False,5,True,5,True,5,True
24.76,-113.69,21.4362,0,False,0,False,0,False,0,False,5,True,5,True,5,True
