lat,lon,streak,sst_media
24.79,-113.52,5,23.288000000000004
24.79,-113.51,5,23.2958
24.79,-113.5,5,23.300800000000002
24.79,-113.49,5,23.3034
24.79,-113.48,5,23.303800000000003
24.79,-113.47,5,23.3026
24.79,-113.46,5,23.3
24.79,-113.45,5,23.2968
24.79,-113.44,5,23.2932
24.79,-113.43,5,23.29
24.79,-113.42,5,23.2884
24.79,-113.41,5,23.29
24.79,-113.4,5,23.2948
24.79,-113.39,5,23.3034
24.79,-113.38,5,23.315600000000003
24.79,-113.37,5,23.3316
24.79,-113.36,5,23.3524
24.79,-113.35,5,23.377000000000002
24.79,-113.34,5,23.403999999999996
24.79,-113.33,5,23.4332
24.79,-113.32,5,23.463599999999996
24.79,-113.31,5,23.496199999999998
24.79,-113.3,5,23.5316
24.79,-113.29,5,23.568199999999997
24.79,-113.28,5,23.6052
24.79,-113.27,5,23.641
24.79,-113.26,5,23.677
24.79,-113.25,5,23.7122
24.79,-113.24,5,23.7468
24.79,-113.23,5,23.781399999999998
24.79,-113.22,5,23.816200000000002
24.79,-113.21,5,23.8508
24.79,-113.2,5,23.8856
24.79,-113.19,5,23.920399999999997
24.79,-113.18,5,23.9558
24.79,-113.17,5,23.9914
24.79,-113.16,5,24.026400000000002
24.79,-113.15,5,24.0614
24.79,-113.14,5,24.0954
24.79,-113.13,5,24.128400000000003
24.79,-113.12,5,24.16
24.79,-113.11,5,24.1894
24.79,-113.1,5,24.215799999999998
24.79,-113.09,5,24.24
24.8,-113.75,5,23.131
24.8,-113.74,5,23.125
24.8,-113.73,5,23.120199999999997
24.8,-113.72,5,23.115199999999998
24.8,-113.71,5,23.109199999999998
24.8,-113.7,5,23.1024
24.8,-113.69,5,23.0974
24.8,-113.68,5,23.0952
24.8,-113.67,5,23.095799999999997
24.8,-113.66,5,23.098800000000004
24.8,-113.65,5,23.102399999999996
24.8,-113.64,5,23.1058
24.8,-113.63,5,23.1104
24.8,-113.62,5,23.1176
24.8,-113.61,5,23.128800000000002
24.8,-113.6,5,23.145400000000002
24.8,-113.59,5,23.1642
24.8,-113.58,5,23.181600000000003
24.8,-113.57,5,23.197
24.8,-113.56,5,23.2122
